family,spec,order,n,MAE,RMSE,NMAE,NRMSE,MASE,R2_pred
ARIMAX,heat_events+prev_lag3,"(0, 0, 0)",8,18.170849223408425,24.679910112734326,0.6988788162849394,0.9492273120282433,0.8722007627236045,-0.8541794921541739
ARIMAX,heat_events+prev_lag1,"(0, 1, 1)",10,18.275423200410575,26.919901945918326,0.7911438614896352,1.165363720602525,0.8772203136197076,-1.411664683609629
ARIMAX,heat_events+prev_lag3,"(1, 0, 0)",8,18.731441688192355,24.24037382288518,0.7204400649304752,0.9323220701109685,0.8991092010332331,-0.7887236623233396
ARIMAX,heat_days+prev_lag1,"(0, 1, 1)",10,20.079948632752846,36.16667257658943,0.8692618455737162,1.5656568214973776,0.9638375343721366,-3.3529841434398
ARIMAX,heat_days+prev_lag2,"(0, 1, 1)",9,20.346354031788234,27.573235598775227,0.8174874387772059,1.107853216022219,0.9766249935258353,-1.5185240075343862
ARIMAX,heat_days+invest_lag2,"(0, 1, 1)",9,20.427810146452586,28.270315019617573,0.8207602290985414,1.1358608713239204,0.9805348870297241,-1.647475364631998
ARIMAX,heat_days+invest_lag3,"(0, 1, 1)",8,21.84528626336161,35.18959668159556,0.8402033178216004,1.353446026215214,1.0485737406413573,-2.769582084058939
ARIMAX,heat_days+invest_lag2,"(0, 0, 0)",9,22.796028082432528,38.48046738071815,0.9159118425977355,1.5460902072609972,1.0942093479567614,-3.905138882583004
ARIMAX,heat_days+prev_lag1,"(0, 0, 0)",10,22.974969423544234,47.42899066157981,0.9945874209326507,2.0532030589428487,1.1027985323301233,-6.486136494313371
ARIMAX,heat_days,"(0, 1, 1)",10,23.540174306213295,42.6492439544237,1.0190551647711383,1.846287617074619,1.1299283666982383,-5.05330629932426
ARIMAX,heat_days+prev_lag1,"(1, 0, 0)",10,24.20282051333785,49.317032956743944,1.0477411477635432,2.134936491633937,1.161735384640217,-7.094012245520878
ARIMAX,heat_events+prev_lag3,"(0, 1, 1)",8,24.404423979494403,38.461634922157494,0.9386316915190155,1.4792936508522112,1.1714123510157315,-3.5031883131973354
ARIMAX,heat_events+invest_lag3,"(0, 1, 1)",8,25.37559794849655,38.902794396615626,0.9759845364806365,1.4962613229467547,1.2180287015278346,-3.6070849676266317
ARIMAX,heat_days+invest_lag1,"(1, 0, 0)",10,25.973407416589605,43.47231157505304,1.1243899314540955,1.881918250002296,1.246723555996301,-5.28920055136108
ARIMAX,heat_days+invest_lag1,"(0, 1, 1)",10,26.176456376892922,47.551815913666815,1.1331799297356242,2.0585201694228057,1.2564699060908604,-6.524959887807436
ARIMAX,heat_days+prev_lag2,"(0, 0, 0)",9,26.25609108278395,41.30896132037046,1.0549322310047122,1.6597350530505988,1.2602923719736296,-4.65274223436925
ARIMAX,heat_days+invest_lag1,"(0, 0, 0)",10,26.58171810520414,44.60822724365236,1.1507237274980147,1.9310920884697989,1.2759224690497988,-5.622163592203829
ARIMAX,heat_days+prev_lag2,"(1, 0, 0)",9,28.058040748814914,45.60418082047729,1.1273319943720277,1.832310836537034,1.346785955943116,-5.889376982367491
ARIMAX,heat_days,"(1, 0, 0)",10,32.47420459528877,76.57180896145753,1.4058097227397734,3.3147969247384212,1.558761820573861,-18.512269718226722
ARIMAX,heat_days,"(0, 0, 0)",10,32.61836038913778,78.0207000197308,1.4120502332960077,3.377519481373627,1.5656812986786135,-19.257677897996004
